movie_title,cast and crew,Genre,vote_average,vote_count,comb
the world is not enough,pierce brosnan sophie marceau robert carlyle denise richards robbie coltrane michael apted,adventure action thriller,6,862,pierce brosnan sophie marceau robert carlyle denise richards robbie coltrane michael apted adventure action thriller
master and commander: the far side of the world,russell crowe paul bettany james d'arcy billy boyd joseph morgan peter weir,adventure,6.9,790,russell crowe paul bettany james d'arcy billy boyd joseph morgan peter weir adventure
the twilight saga: breaking dawn - part 2,kristen stewart robert pattinson taylor lautner peter facinelli elizabeth reaser bill condon,adventure fantasy drama romance,6.1,2553,kristen stewart robert pattinson taylor lautner peter facinelli elizabeth reaser bill condon adventure fantasy drama romance
happy feet two,elijah wood robin williams pink e.g. daily johnny a. sanchez george miller,animation comedy family,5.8,373,elijah wood robin williams pink e.g. daily johnny a. sanchez george miller animation comedy family
the incredible hulk,edward norton liv tyler tim roth william hurt tim blake nelson louis leterrier,science fiction action adventure,6.1,3021,edward norton liv tyler tim roth william hurt tim blake nelson louis leterrier science fiction action adventure
the bfg,ruby barnhill mark rylance rebecca hall jemaine clement bill hader steven spielberg,adventure family fantasy,6,1000,ruby barnhill mark rylance rebecca hall jemaine clement bill hader steven spielberg adventure family fantasy
the revenant,leonardo dicaprio tom hardy will poulter domhnall gleeson paul anderson alejandro gonz\u00e1lez i\u00f1\u00e1rritu,western drama adventure thriller,7.3,6396,leonardo dicaprio tom hardy will poulter domhnall gleeson paul anderson alejandro gonz\u00e1lez i\u00f1\u00e1rritu western drama adventure thriller
turbo,ryan reynolds paul giamatti michael pe\u00f1a samuel l. jackson luis guzm\u00e1n david soren,animation family,6.1,1074,ryan reynolds paul giamatti michael pe\u00f1a samuel l. jackson luis guzm\u00e1n david soren animation family
rango,johnny depp isla fisher ned beatty bill nighy alfred molina gore verbinski,animation comedy family western adventure,6.6,2051,johnny depp isla fisher ned beatty bill nighy alfred molina gore verbinski animation comedy family western adventure
penguins of madagascar,tom mcgrath chris miller christopher knights conrad vernon john malkovich eric darnell,family animation adventure comedy,6.5,1346,tom mcgrath chris miller christopher knights conrad vernon john malkovich eric darnell family animation adventure comedy
the bourne ultimatum,matt damon julia stiles david strathairn scott glenn paddy considine paul greengrass,action drama mystery thriller,7.3,2888,matt damon julia stiles david strathairn scott glenn paddy considine paul greengrass action drama mystery thriller
kung fu panda,jack black dustin hoffman angelina jolie jackie chan lucy liu mark osborne,adventure animation family comedy,6.9,3145,jack black dustin hoffman angelina jolie jackie chan lucy liu mark osborne adventure animation family comedy
ant-man,paul rudd michael douglas evangeline lilly corey stoll bobby cannavale peyton reed,science fiction action adventure,7,5880,paul rudd michael douglas evangeline lilly corey stoll bobby cannavale peyton reed science fiction action adventure
the hunger games: catching fire,jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks francis lawrence,adventure action science fiction,7.4,6495,jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks francis lawrence adventure action science fiction
home,jim parsons rihanna steve martin jennifer lopez matt jones tim johnson,fantasy comedy animation science fiction family,6.8,1519,jim parsons rihanna steve martin jennifer lopez matt jones tim johnson fantasy comedy animation science fiction family
war of the worlds,tom cruise dakota fanning miranda otto justin chatwin tim robbins steven spielberg,adventure thriller science fiction,6.2,2322,tom cruise dakota fanning miranda otto justin chatwin tim robbins steven spielberg adventure thriller science fiction
bad boys ii,martin lawrence will smith jordi moll\u00e0 gabrielle union peter stormare michael bay,adventure action comedy thriller crime,6.3,1564,martin lawrence will smith jordi moll\u00e0 gabrielle union peter stormare michael bay adventure action comedy thriller crime
puss in boots,antonio banderas salma hayek zach galifianakis billy bob thornton amy sedaris chris miller,action adventure animation family fantasy,6.4,451,antonio banderas salma hayek zach galifianakis billy bob thornton amy sedaris chris miller action adventure animation family fantasy
salt,angelina jolie liev schreiber chiwetel ejiofor daniel olbrychski august diehl phillip noyce,action mystery thriller,6.2,2093,angelina jolie liev schreiber chiwetel ejiofor daniel olbrychski august diehl phillip noyce action mystery thriller
noah,russell crowe jennifer connelly emma watson logan lerman anthony hopkins darren aronofsky,drama adventure,5.6,2350,russell crowe jennifer connelly emma watson logan lerman anthony hopkins darren aronofsky drama adventure
the adventures of tintin,jamie bell andy serkis daniel craig nick frost simon pegg steven spielberg,adventure animation mystery,6.7,2061,jamie bell andy serkis daniel craig nick frost simon pegg steven spielberg adventure animation mystery
harry potter and the prisoner of azkaban,daniel radcliffe rupert grint emma watson gary oldman david thewlis alfonso cuar\u00f3n,adventure fantasy family,7.7,5877,daniel radcliffe rupert grint emma watson gary oldman david thewlis alfonso cuar\u00f3n adventure fantasy family
australia,nicole kidman hugh jackman essie davis david wenham bryan brown baz luhrmann,drama,6.3,694,nicole kidman hugh jackman essie davis david wenham bryan brown baz luhrmann drama
after earth,jaden smith will smith sophie okonedo zo\u00eb kravitz glenn morshower m. night shyamalan,science fiction action adventure,5,2532,jaden smith will smith sophie okonedo zo\u00eb kravitz glenn morshower m. night shyamalan science fiction action adventure
dinosaur,d. b. sweeney alfre woodard ossie davis max casella hayden panettiere ralph zondag,animation family,6.2,542,d. b. sweeney alfre woodard ossie davis max casella hayden panettiere ralph zondag animation family
night at the museum: secret of the tomb,ben stiller rami malek rebel wilson robin williams owen wilson shawn levy,adventure comedy fantasy family,6.1,1851,ben stiller rami malek rebel wilson robin williams owen wilson shawn levy adventure comedy fantasy family
megamind,will ferrell brad pitt tina fey jonah hill david cross tom mcgrath,animation action comedy family science fiction,6.7,1918,will ferrell brad pitt tina fey jonah hill david cross tom mcgrath animation action comedy family science fiction
harry potter and the philosopher's stone,daniel radcliffe rupert grint emma watson richard harris tom felton chris columbus,adventure fantasy family,7.5,7006,daniel radcliffe rupert grint emma watson richard harris tom felton chris columbus adventure fantasy family
r.i.p.d.,jeff bridges ryan reynolds kevin bacon stephanie szostak mary-louise parker robert schwentke,fantasy action comedy crime,5.4,1260,jeff bridges ryan reynolds kevin bacon stephanie szostak mary-louise parker robert schwentke fantasy action comedy crime
pirates of the caribbean: the curse of the black pearl,johnny depp geoffrey rush orlando bloom keira knightley jack davenport gore verbinski,adventure fantasy action,7.5,6985,johnny depp geoffrey rush orlando bloom keira knightley jack davenport gore verbinski adventure fantasy action
the hunger games: mockingjay - part 1,jennifer lawrence josh hutcherson liam hemsworth woody harrelson donald sutherland francis lawrence,science fiction adventure thriller,6.6,5584,jennifer lawrence josh hutcherson liam hemsworth woody harrelson donald sutherland francis lawrence science fiction adventure thriller
the da vinci code,tom hanks audrey tautou ian mckellen paul bettany jean reno ron howard,thriller mystery,6.5,2704,tom hanks audrey tautou ian mckellen paul bettany jean reno ron howard thriller mystery
rio 2,jesse eisenberg anne hathaway leslie mann jamie foxx andy garc\u00eda carlos saldanha,animation adventure comedy family,6.3,978,jesse eisenberg anne hathaway leslie mann jamie foxx andy garc\u00eda carlos saldanha animation adventure comedy family
x2,patrick stewart hugh jackman ian mckellen halle berry famke janssen bryan singer,adventure action science fiction thriller,6.8,3506,patrick stewart hugh jackman ian mckellen halle berry famke janssen bryan singer adventure action science fiction thriller
fast five,vin diesel paul walker jordana brewster tyrese gibson ludacris justin lin,action thriller crime,7.1,2438,vin diesel paul walker jordana brewster tyrese gibson ludacris justin lin action thriller crime
sherlock holmes: a game of shadows,robert downey jr. jude law jared harris noomi rapace kelly reilly guy ritchie,adventure action crime mystery,7,3886,robert downey jr. jude law jared harris noomi rapace kelly reilly guy ritchie adventure action crime mystery
clash of the titans,sam worthington liam neeson ralph fiennes gemma arterton jason flemyng louis leterrier,adventure fantasy action,5.6,2233,sam worthington liam neeson ralph fiennes gemma arterton jason flemyng louis leterrier adventure fantasy action
total recall,arnold schwarzenegger sharon stone rachel ticotin ronny cox michael ironside paul verhoeven,action adventure science fiction,7.1,1710,arnold schwarzenegger sharon stone rachel ticotin ronny cox michael ironside paul verhoeven action adventure science fiction
the 13th warrior,antonio banderas vladimir kulich dennis storh\u00f8i daniel southern clive russell john mctiernan,adventure fantasy action,6.4,510,antonio banderas vladimir kulich dennis storh\u00f8i daniel southern clive russell john mctiernan adventure fantasy action
the bourne legacy,jeremy renner rachel weisz edward norton scott glenn stacy keach tony gilroy,action thriller,6,2651,jeremy renner rachel weisz edward norton scott glenn stacy keach tony gilroy action thriller
batman & robin,george clooney chris o'donnell arnold schwarzenegger uma thurman alicia silverstone joel schumacher,action crime fantasy,4.2,1418,george clooney chris o'donnell arnold schwarzenegger uma thurman alicia silverstone joel schumacher action crime fantasy
how the grinch stole christmas,jim carrey taylor momsen jeffrey tambor christine baranski bill irwin ron howard,family comedy fantasy,6.2,1386,jim carrey taylor momsen jeffrey tambor christine baranski bill irwin ron howard family comedy fantasy
the day after tomorrow,dennis quaid jake gyllenhaal emmy rossum dash mihok jay o. sanders roland emmerich,action adventure science fiction thriller,6.2,2392,dennis quaid jake gyllenhaal emmy rossum dash mihok jay o. sanders roland emmerich action adventure science fiction thriller
mission: impossible ii,tom cruise dougray scott thandie newton ving rhames richard roxburgh john woo,adventure action thriller,5.9,1928,tom cruise dougray scott thandie newton ving rhames richard roxburgh john woo adventure action thriller
the perfect storm,george clooney mark wahlberg diane lane john c. reilly william fichtner wolfgang petersen,drama,6.2,597,george clooney mark wahlberg diane lane john c. reilly william fichtner wolfgang petersen drama
4: rise of the silver surfer,ioan gruffudd jessica alba chris evans michael chiklis julian mcmahon tim story,adventure fantasy action thriller,5.4,2589,ioan gruffudd jessica alba chris evans michael chiklis julian mcmahon tim story adventure fantasy action thriller
life of pi,suraj sharma irrfan khan ayush tandon gautam belur adil hussain ang lee,adventure drama action,7.2,5797,suraj sharma irrfan khan ayush tandon gautam belur adil hussain ang lee adventure drama action
ghost rider,nicolas cage eva mendes wes bentley donal logue sam elliott mark steven johnson,thriller action fantasy horror,5.2,1712,nicolas cage eva mendes wes bentley donal logue sam elliott mark steven johnson thriller action fantasy horror
jason bourne,matt damon alicia vikander tommy lee jones vincent cassel julia stiles paul greengrass,action thriller,5.9,2341,matt damon alicia vikander tommy lee jones vincent cassel julia stiles paul greengrass action thriller
charlie's angels: full throttle,cameron diaz drew barrymore lucy liu bernie mac robert patrick mcg,action adventure comedy,5.2,914,cameron diaz drew barrymore lucy liu bernie mac robert patrick mcg action adventure comedy
prometheus,noomi rapace michael fassbender guy pearce idris elba logan marshall-green ridley scott,science fiction adventure mystery,6.3,5080,noomi rapace michael fassbender guy pearce idris elba logan marshall-green ridley scott science fiction adventure mystery
stuart little 2,michael j. fox geena davis hugh laurie jonathan lipnicki anna hoelck rob minkoff,family adventure animation comedy,5.4,613,michael j. fox geena davis hugh laurie jonathan lipnicki anna hoelck rob minkoff family adventure animation comedy
elysium,matt damon jodie foster sharlto copley alice braga diego luna neill blomkamp,science fiction action drama thriller,6.4,3439,matt damon jodie foster sharlto copley alice braga diego luna neill blomkamp science fiction action drama thriller
the chronicles of riddick,vin diesel thandie newton karl urban colm feore linus roache david twohy,action science fiction,6.3,1570,vin diesel thandie newton karl urban colm feore linus roache david twohy action science fiction
robocop,joel kinnaman gary oldman michael keaton abbie cornish jackie earle haley jos\u00e9 padilha,action science fiction,5.7,2342,joel kinnaman gary oldman michael keaton abbie cornish jackie earle haley jos\u00e9 padilha action science fiction
speed racer,emile hirsch christina ricci matthew fox susan sarandon scott porter lilly wachowski,action family science fiction,5.7,354,emile hirsch christina ricci matthew fox susan sarandon scott porter lilly wachowski action family science fiction
how do you know,reese witherspoon paul rudd owen wilson jack nicholson kathryn hahn james l. brooks,comedy drama romance,4.9,223,reese witherspoon paul rudd owen wilson jack nicholson kathryn hahn james l. brooks comedy drama romance
knight and day,tom cruise cameron diaz peter sarsgaard viola davis jordi moll\u00e0 james mangold,action comedy,5.9,1547,tom cruise cameron diaz peter sarsgaard viola davis jordi moll\u00e0 james mangold action comedy
oblivion,tom cruise morgan freeman olga kurylenko andrea riseborough nikolaj coster-waldau joseph kosinski,action science fiction adventure mystery,6.4,4800,tom cruise morgan freeman olga kurylenko andrea riseborough nikolaj coster-waldau joseph kosinski action science fiction adventure mystery
star wars: episode iii - revenge of the sith,ewan mcgregor natalie portman hayden christensen ian mcdiarmid samuel l. jackson george lucas,science fiction adventure action,7.1,4116,ewan mcgregor natalie portman hayden christensen ian mcdiarmid samuel l. jackson george lucas science fiction adventure action
star wars: episode ii - attack of the clones,ewan mcgregor natalie portman hayden christensen ian mcdiarmid samuel l. jackson george lucas,adventure action science fiction,6.4,3992,ewan mcgregor natalie portman hayden christensen ian mcdiarmid samuel l. jackson george lucas adventure action science fiction
"monsters, inc.",john goodman billy crystal mary gibbs steve buscemi james coburn pete docter,animation comedy family,7.5,5996,john goodman billy crystal mary gibbs steve buscemi james coburn pete docter animation comedy family
the wolverine,hugh jackman hiroyuki sanada famke janssen will yun lee tao okamoto james mangold,action science fiction adventure fantasy,6.3,4053,hugh jackman hiroyuki sanada famke janssen will yun lee tao okamoto james mangold action science fiction adventure fantasy
star wars: episode i - the phantom menace,liam neeson ewan mcgregor natalie portman jake lloyd ian mcdiarmid george lucas,adventure action science fiction,6.3,4432,liam neeson ewan mcgregor natalie portman jake lloyd ian mcdiarmid george lucas adventure action science fiction
the croods,nicolas cage emma stone ryan reynolds catherine keener cloris leachman chris sanders,adventure animation comedy family fantasy,6.8,2399,nicolas cage emma stone ryan reynolds catherine keener cloris leachman chris sanders adventure animation comedy family fantasy
astérix aux jeux olympiques,clovis cornillac g\u00e9rard depardieu franck dubosc jos\u00e9 garcia st\u00e9phane rousseau thomas langmann,fantasy adventure comedy family,5,471,clovis cornillac g\u00e9rard depardieu franck dubosc jos\u00e9 garcia st\u00e9phane rousseau thomas langmann fantasy adventure comedy family
windtalkers,nicolas cage adam beach peter stormare noah emmerich mark ruffalo john woo,drama action history war,5.8,341,nicolas cage adam beach peter stormare noah emmerich mark ruffalo john woo drama action history war
the huntsman: winter's war,chris hemsworth charlize theron emily blunt jessica chastain nick frost cedric nicolas-troyan,action adventure drama,6,1523,chris hemsworth charlize theron emily blunt jessica chastain nick frost cedric nicolas-troyan action adventure drama
teenage mutant ninja turtles,megan fox will arnett william fichtner alan ritchson noel fisher jonathan liebesman,science fiction action adventure fantasy comedy,5.8,2636,megan fox will arnett william fichtner alan ritchson noel fisher jonathan liebesman science fiction action adventure fantasy comedy
gravity,sandra bullock george clooney ed harris orto ignatiussen phaldut sharma alfonso cuar\u00f3n,science fiction thriller drama,7.3,5751,sandra bullock george clooney ed harris orto ignatiussen phaldut sharma alfonso cuar\u00f3n science fiction thriller drama
dante's peak,pierce brosnan linda hamilton jamie ren\u00e9e smith jeremy foley elizabeth hoffman roger donaldson,action adventure thriller,5.7,428,pierce brosnan linda hamilton jamie ren\u00e9e smith jeremy foley elizabeth hoffman roger donaldson action adventure thriller
teenage mutant ninja turtles: out of the shadows,megan fox stephen amell will arnett laura linney pete ploszek dave green,fantasy action adventure comedy,5.8,963,megan fox stephen amell will arnett laura linney pete ploszek dave green fantasy action adventure comedy
fantastic four,miles teller kate mara michael b. jordan jamie bell toby kebbell josh trank,action adventure science fiction,4.4,2278,miles teller kate mara michael b. jordan jamie bell toby kebbell josh trank action adventure science fiction
night at the museum,ben stiller jake cherry carla gugino robin williams dick van dyke shawn levy,action adventure comedy family fantasy,6.3,2862,ben stiller jake cherry carla gugino robin williams dick van dyke shawn levy action adventure comedy family fantasy
san andreas,dwayne johnson alexandra daddario carla gugino ioan gruffudd archie panjabi brad peyton,action drama thriller,6,2968,dwayne johnson alexandra daddario carla gugino ioan gruffudd archie panjabi brad peyton action drama thriller
tomorrow never dies,pierce brosnan jonathan pryce michelle yeoh teri hatcher ricky jay roger spottiswoode,adventure action thriller,6,925,pierce brosnan jonathan pryce michelle yeoh teri hatcher ricky jay roger spottiswoode adventure action thriller
the patriot,mel gibson heath ledger joely richardson jason isaacs tch\u00e9ky karyo roland emmerich,drama history war action,6.8,1099,mel gibson heath ledger joely richardson jason isaacs tch\u00e9ky karyo roland emmerich drama history war action
ocean's twelve,george clooney brad pitt catherine zeta-jones julia roberts andy garc\u00eda steven soderbergh,thriller crime,6.4,2124,george clooney brad pitt catherine zeta-jones julia roberts andy garc\u00eda steven soderbergh thriller crime
mr. & mrs. smith,angelina jolie brad pitt vince vaughn adam brody kerry washington doug liman,action comedy drama thriller,6.5,2965,angelina jolie brad pitt vince vaughn adam brody kerry washington doug liman action comedy drama thriller
insurgent,shailene woodley theo james kate winslet ansel elgort miles teller robert schwentke,adventure science fiction thriller,6.2,3829,shailene woodley theo james kate winslet ansel elgort miles teller robert schwentke adventure science fiction thriller
the aviator,leonardo dicaprio cate blanchett kate beckinsale john c. reilly alec baldwin martin scorsese,drama,7,1489,leonardo dicaprio cate blanchett kate beckinsale john c. reilly alec baldwin martin scorsese drama
gulliver's travels,jack black amanda peet emily blunt jason segel chris o'dowd rob letterman,comedy,4.9,621,jack black amanda peet emily blunt jason segel chris o'dowd rob letterman comedy
the green hornet,seth rogen jay chou christoph waltz cameron diaz edward furlong michel gondry,action crime comedy,5.5,1251,seth rogen jay chou christoph waltz cameron diaz edward furlong michel gondry action crime comedy
300: rise of an empire,sullivan stapleton eva green lena headey callan mulvey david wenham noam murro,action war,6.1,2397,sullivan stapleton eva green lena headey callan mulvey david wenham noam murro action war
the smurfs,hank azaria neil patrick harris jayma mays sof\u00eda vergara tim gunn raja gosnell,animation family adventure comedy fantasy,5.5,1179,hank azaria neil patrick harris jayma mays sof\u00eda vergara tim gunn raja gosnell animation family adventure comedy fantasy
home on the range,roseanne barr judi dench jennifer tilly steve buscemi g. w. bailey will finn,animation family,5.7,389,roseanne barr judi dench jennifer tilly steve buscemi g. w. bailey will finn animation family
allegiant,shailene woodley theo james zo\u00eb kravitz miles teller naomi watts robert schwentke,adventure science fiction,5.9,1998,shailene woodley theo james zo\u00eb kravitz miles teller naomi watts robert schwentke adventure science fiction
real steel,hugh jackman dakota goyo evangeline lilly anthony mackie kevin durand shawn levy,action science fiction drama,6.6,2692,hugh jackman dakota goyo evangeline lilly anthony mackie kevin durand shawn levy action science fiction drama
the smurfs 2,hank azaria neil patrick harris brendan gleeson jayma mays jonathan winters raja gosnell,fantasy family comedy animation,5.5,695,hank azaria neil patrick harris brendan gleeson jayma mays jonathan winters raja gosnell fantasy family comedy animation
speed 2: cruise control,sandra bullock jason patric willem dafoe temuera morrison mike hagerty jan de bont,action adventure thriller,4.1,434,sandra bullock jason patric willem dafoe temuera morrison mike hagerty jan de bont action adventure thriller
ender's game,asa butterfield harrison ford hailee steinfeld abigail breslin ben kingsley gavin hood,science fiction action adventure,6.6,2303,asa butterfield harrison ford hailee steinfeld abigail breslin ben kingsley gavin hood science fiction action adventure
live free or die hard,bruce willis justin long timothy olyphant cliff curtis maggie q len wiseman,action thriller,6.4,2089,bruce willis justin long timothy olyphant cliff curtis maggie q len wiseman action thriller
the lord of the rings: the fellowship of the ring,elijah wood ian mckellen cate blanchett orlando bloom sean bean peter jackson,adventure fantasy action,8,8705,elijah wood ian mckellen cate blanchett orlando bloom sean bean peter jackson adventure fantasy action
around the world in 80 days,jackie chan steve coogan c\u00e9cile de france robert fyfe jim broadbent frank coraci,action adventure comedy,5.7,672,jackie chan steve coogan c\u00e9cile de france robert fyfe jim broadbent frank coraci action adventure comedy
ali,will smith jamie foxx jon voight mario van peebles ron silver michael mann,drama,6.7,447,will smith jamie foxx jon voight mario van peebles ron silver michael mann drama
the cat in the hat,mike myers dakota fanning spencer breslin kelly preston alec baldwin bo welch,comedy fantasy family,4.9,366,mike myers dakota fanning spencer breslin kelly preston alec baldwin bo welch comedy fantasy family
"i, robot",will smith bridget moynahan alan tudyk james cromwell bruce greenwood alex proyas,action science fiction,6.7,3793,will smith bridget moynahan alan tudyk james cromwell bruce greenwood alex proyas action science fiction
kingdom of heaven,orlando bloom eva green jeremy irons marton csokas brendan gleeson ridley scott,drama action adventure history war,6.6,1157,orlando bloom eva green jeremy irons marton csokas brendan gleeson ridley scott drama action adventure history war
stuart little,michael j. fox geena davis hugh laurie jonathan lipnicki nathan lane rob minkoff,animation fantasy family comedy,5.8,959,michael j. fox geena davis hugh laurie jonathan lipnicki nathan lane rob minkoff animation fantasy family comedy
the princess and the frog,anika noni rose bruno campos keith david michael-leon wooley jennifer cody ron clements,romance family animation music,6.7,1247,anika noni rose bruno campos keith david michael-leon wooley jennifer cody ron clements romance family animation music
the martian,matt damon jessica chastain kristen wiig jeff daniels michael pe\u00f1a ridley scott,drama adventure science fiction,7.6,7268,matt damon jessica chastain kristen wiig jeff daniels michael pe\u00f1a ridley scott drama adventure science fiction
the island,ewan mcgregor scarlett johansson djimon hounsou sean bean steve buscemi michael bay,action thriller science fiction adventure,6.5,1770,ewan mcgregor scarlett johansson djimon hounsou sean bean steve buscemi michael bay action thriller science fiction adventure
town & country,warren beatty diane keaton goldie hawn garry shandling andie macdowell peter chelsom,comedy romance,3.7,16,warren beatty diane keaton goldie hawn garry shandling andie macdowell peter chelsom comedy romance
gone in sixty seconds,nicolas cage angelina jolie giovanni ribisi delroy lindo will patton dominic sena,action crime thriller,6.1,1485,nicolas cage angelina jolie giovanni ribisi delroy lindo will patton dominic sena action crime thriller
gladiator,russell crowe joaquin phoenix connie nielsen oliver reed richard harris ridley scott,action drama adventure,7.9,5439,russell crowe joaquin phoenix connie nielsen oliver reed richard harris ridley scott action drama adventure
minority report,tom cruise colin farrell samantha morton max von sydow lois smith steven spielberg,action thriller science fiction mystery,7.1,2608,tom cruise colin farrell samantha morton max von sydow lois smith steven spielberg action thriller science fiction mystery
harry potter and the chamber of secrets,daniel radcliffe rupert grint emma watson richard harris alan rickman chris columbus,adventure fantasy family,7.4,5815,daniel radcliffe rupert grint emma watson richard harris alan rickman chris columbus adventure fantasy family
casino royale,daniel craig eva green mads mikkelsen judi dench jeffrey wright martin campbell,adventure action thriller,7.3,3855,daniel craig eva green mads mikkelsen judi dench jeffrey wright martin campbell adventure action thriller
planet of the apes,mark wahlberg tim roth helena bonham carter michael clarke duncan kris kristofferson tim burton,thriller science fiction action adventure,5.6,1243,mark wahlberg tim roth helena bonham carter michael clarke duncan kris kristofferson tim burton thriller science fiction action adventure
terminator 2: judgment day,arnold schwarzenegger linda hamilton robert patrick edward furlong michael edwards james cameron,action thriller science fiction,7.7,4185,arnold schwarzenegger linda hamilton robert patrick edward furlong michael edwards james cameron action thriller science fiction
public enemies,christian bale johnny depp giovanni ribisi billy crudup marion cotillard michael mann,history crime drama,6.5,1344,christian bale johnny depp giovanni ribisi billy crudup marion cotillard michael mann history crime drama
american gangster,denzel washington russell crowe chiwetel ejiofor josh brolin lymari nadal ridley scott,drama crime,7.4,1502,denzel washington russell crowe chiwetel ejiofor josh brolin lymari nadal ridley scott drama crime
true lies,arnold schwarzenegger jamie lee curtis tom arnold bill paxton tia carrere james cameron,action thriller,6.8,1116,arnold schwarzenegger jamie lee curtis tom arnold bill paxton tia carrere james cameron action thriller
the taking of pelham 1 2 3,denzel washington john travolta luis guzm\u00e1n victor gojcaj john turturro tony scott,thriller drama crime,6.2,954,denzel washington john travolta luis guzm\u00e1n victor gojcaj john turturro tony scott thriller drama crime
little fockers,robert de niro ben stiller owen wilson dustin hoffman barbra streisand paul weitz,comedy romance,5.4,1060,robert de niro ben stiller owen wilson dustin hoffman barbra streisand paul weitz comedy romance
the other guys,will ferrell mark wahlberg eva mendes samuel l. jackson dwayne johnson adam mckay,action comedy crime,6.1,1383,will ferrell mark wahlberg eva mendes samuel l. jackson dwayne johnson adam mckay action comedy crime
eraser,arnold schwarzenegger james caan vanessa williams james coburn robert pastorelli chuck russell,action drama mystery thriller,5.6,543,arnold schwarzenegger james caan vanessa williams james coburn robert pastorelli chuck russell action drama mystery thriller
django unchained,jamie foxx christoph waltz leonardo dicaprio kerry washington samuel l. jackson quentin tarantino,drama western,7.8,10099,jamie foxx christoph waltz leonardo dicaprio kerry washington samuel l. jackson quentin tarantino drama western
the hunchback of notre dame,tom hulce demi moore tony jay kevin kline paul kandel gary trousdale,drama animation family,6.8,1129,tom hulce demi moore tony jay kevin kline paul kandel gary trousdale drama animation family
the emperor's new groove,david spade john goodman eartha kitt patrick warburton wendie malick mark dindal,adventure animation comedy family fantasy,7.2,1490,david spade john goodman eartha kitt patrick warburton wendie malick mark dindal adventure animation comedy family fantasy
the expendables 2,sylvester stallone jason statham dolph lundgren bruce willis arnold schwarzenegger simon west,action adventure thriller,6.1,2896,sylvester stallone jason statham dolph lundgren bruce willis arnold schwarzenegger simon west action adventure thriller
national treasure,nicolas cage diane kruger justin bartha sean bean jon voight jon turteltaub,adventure action thriller mystery,6.4,1926,nicolas cage diane kruger justin bartha sean bean jon voight jon turteltaub adventure action thriller mystery
eragon,ed speleers jeremy irons sienna guillory robert carlyle djimon hounsou stefen fangmeier,fantasy action adventure family,4.9,967,ed speleers jeremy irons sienna guillory robert carlyle djimon hounsou stefen fangmeier fantasy action adventure family
where the wild things are,max records catherine keener lauren ambrose james gandolfini catherine o'hara spike jonze,family fantasy,6.4,572,max records catherine keener lauren ambrose james gandolfini catherine o'hara spike jonze family fantasy
epic,josh hutcherson amanda seyfried colin farrell jason sudeikis aziz ansari chris wedge,animation adventure family fantasy,6.4,1121,josh hutcherson amanda seyfried colin farrell jason sudeikis aziz ansari chris wedge animation adventure family fantasy
the tourist,johnny depp angelina jolie paul bettany timothy dalton steven berkoff florian henckel von donnersmarck,action thriller romance,6,1699,johnny depp angelina jolie paul bettany timothy dalton steven berkoff florian henckel von donnersmarck action thriller romance
end of days,arnold schwarzenegger gabriel byrne kevin pollak robin tunney cch pounder peter hyams,action fantasy horror mystery,5.5,482,arnold schwarzenegger gabriel byrne kevin pollak robin tunney cch pounder peter hyams action fantasy horror mystery
blood diamond,leonardo dicaprio djimon hounsou jennifer connelly kagiso kuypers arnold vosloo edward zwick,drama thriller action,7.3,2281,leonardo dicaprio djimon hounsou jennifer connelly kagiso kuypers arnold vosloo edward zwick drama thriller action
the wolf of wall street,leonardo dicaprio jonah hill margot robbie kyle chandler rob reiner martin scorsese,crime drama comedy,7.9,6571,leonardo dicaprio jonah hill margot robbie kyle chandler rob reiner martin scorsese crime drama comedy
batman forever,val kilmer tommy lee jones jim carrey nicole kidman chris o'donnell joel schumacher,action crime fantasy,5.2,1498,val kilmer tommy lee jones jim carrey nicole kidman chris o'donnell joel schumacher action crime fantasy
starship troopers,casper van dien dina meyer denise richards jake busey neil patrick harris paul verhoeven,adventure action thriller science fiction,6.7,1560,casper van dien dina meyer denise richards jake busey neil patrick harris paul verhoeven adventure action thriller science fiction
cloud atlas,tom hanks halle berry jim broadbent hugo weaving jim sturgess tom tykwer,drama science fiction,6.6,2977,tom hanks halle berry jim broadbent hugo weaving jim sturgess tom tykwer drama science fiction
legend of the guardians: the owls of ga'hoole,emily barclay abbie cornish essie davis joel edgerton deborra-lee furness zack snyder,animation adventure family fantasy,6.5,703,emily barclay abbie cornish essie davis joel edgerton deborra-lee furness zack snyder animation adventure family fantasy
catwoman,halle berry benjamin bratt sharon stone lambert wilson frances conroy pitof,action crime,4.2,808,halle berry benjamin bratt sharon stone lambert wilson frances conroy pitof action crime
hercules,dwayne johnson ian mcshane john hurt rufus sewell aksel hennie brett ratner,action adventure,5.6,1680,dwayne johnson ian mcshane john hurt rufus sewell aksel hennie brett ratner action adventure
treasure planet,joseph gordon-levitt brian murray david hyde pierce emma thompson michael wincott ron clements,adventure animation family fantasy science fiction,7.2,948,joseph gordon-levitt brian murray david hyde pierce emma thompson michael wincott ron clements adventure animation family fantasy science fiction
land of the lost,will ferrell anna friel danny mcbride jorma taccone matt lauer brad silberling,adventure comedy science fiction,5.3,381,will ferrell anna friel danny mcbride jorma taccone matt lauer brad silberling adventure comedy science fiction
