movie_title,cast and crew,Genre,vote_average,vote_count,comb
out of the blue,karl urban tandi wright simon ferry matthew sunderland lois lawn robert sarkies,drama,5.9,18,karl urban tandi wright simon ferry matthew sunderland lois lawn robert sarkies drama
police academy,steve guttenberg kim cattrall g. w. bailey bubba smith donovan scott hugh wilson,comedy crime,6.5,602,steve guttenberg kim cattrall g. w. bailey bubba smith donovan scott hugh wilson comedy crime
the blue lagoon,brooke shields christopher atkins leo mckern william daniels jeffrey kleiser randal kleiser,romance adventure drama,5.8,408,brooke shields christopher atkins leo mckern william daniels jeffrey kleiser randal kleiser romance adventure drama
four weddings and a funeral,hugh grant andie macdowell james fleet simon callow john hannah mike newell,comedy drama romance,6.6,632,hugh grant andie macdowell james fleet simon callow john hannah mike newell comedy drama romance
fast times at ridgemont high,sean penn jennifer jason leigh judge reinhold phoebe cates brian backer amy heckerling,comedy,7,322,sean penn jennifer jason leigh judge reinhold phoebe cates brian backer amy heckerling comedy
moby dick,gregory peck richard basehart leo genn james robertson justice harry andrews john huston,adventure drama,6.9,89,gregory peck richard basehart leo genn james robertson justice harry andrews john huston adventure drama
25th hour,edward norton philip seymour hoffman barry pepper rosario dawson anna paquin spike lee,crime drama,7.2,629,edward norton philip seymour hoffman barry pepper rosario dawson anna paquin spike lee crime drama
bound,jennifer tilly gina gershon joe pantoliano john p. ryan christopher meloni lilly wachowski,crime drama romance thriller,6.9,198,jennifer tilly gina gershon joe pantoliano john p. ryan christopher meloni lilly wachowski crime drama romance thriller
requiem for a dream,ellen burstyn jared leto jennifer connelly marlon wayans christopher mcdonald darren aronofsky,crime drama,7.9,2443,ellen burstyn jared leto jennifer connelly marlon wayans christopher mcdonald darren aronofsky crime drama
state fair,jeanne crain dana andrews dick haymes vivian blaine charles winninger walter lang,music romance,6.2,19,jeanne crain dana andrews dick haymes vivian blaine charles winninger walter lang music romance
"tango, no me dejes nunca",miguel \u00c1ngel sol\u00e1 cecilia narova m\u00eda maestro juan carlos copes carlos saura,drama foreign romance,6.8,6,miguel \u00c1ngel sol\u00e1 cecilia narova m\u00eda maestro juan carlos copes carlos saura drama foreign romance
salvador,james woods jim belushi michael murphy john savage tony plana oliver stone,drama,7,71,james woods jim belushi michael murphy john savage tony plana oliver stone drama
