Title,Movie_Title,Poster_Links,Tag_Line
the sorcerer's apprentice,The Sorcerer's Apprentice,https://image.tmdb.org/t/p/original/b5pIUsGll0418NyfNA5eYCI9aoK.jpg,It's The Coolest Job Ever.
poseidon,Poseidon,https://image.tmdb.org/t/p/original/cCx2Ead8KoZhHofsAAr7tyrjfDo.jpg,Mayday
alice through the looking glass,Alice Through the Looking Glass,https://image.tmdb.org/t/p/original/uGsjYHPZ0NbI7GHrHlq98D4kFYB.jpg,It's time for a little madness.
shrek the third,Shrek the Third,https://image.tmdb.org/t/p/original/jaNe16gE9zdAYyVwRqmlmRKshHm.jpg,He’s in for the Royal Treatment.
warcraft,Warcraft,https://image.tmdb.org/t/p/original/k3a41SS1q5xmbvzPvzTIfG7GDlp.jpg,Two worlds. One home.
terminator genisys,Terminator Genisys,https://image.tmdb.org/t/p/original/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,Reset the future
the chronicles of narnia: the voyage of the dawn treader,The Chronicles of Narnia: The Voyage of the Dawn Treader,https://image.tmdb.org/t/p/original/jTBpCaSyvcxrCk3NtyPY92X46X7.jpg,Return to magic. Return to hope. Return to Narnia.
pearl harbor,Pearl Harbor,https://image.tmdb.org/t/p/original/ftkKVbk4sQEcekuaGJvpvXcNs32.jpg,It takes a moment to change history. It takes love to change lives.
transformers,Transformers: The Last Knight,https://image.tmdb.org/t/p/original/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg,"For one world to live, the other must die."
alexander,Alexander,https://image.tmdb.org/t/p/original/faVET7EulRCnYRwi65jnHqR2di8.jpg,The greatest legend of all was real
harry potter and the order of the phoenix,Harry Potter and the Order of the Phoenix,https://image.tmdb.org/t/p/original/g6n8G0xPnBVUIKKK41sNmbZB5h4.jpg,Evil Must Be Confronted.
harry potter and the goblet of fire,Harry Potter and the Goblet of Fire,https://image.tmdb.org/t/p/original/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,Dark And Difficult Times Lie Ahead.
hancock,Hancock,https://image.tmdb.org/t/p/original/fP3ntv026PQ5aTTCBjGgkE60sUM.jpg,Bad Behavior. Bad Attitude. Real Hero.
i am legend,I Am Legend,https://image.tmdb.org/t/p/original/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg,The last man on Earth is not alone
charlie and the chocolate factory,Charlie and the Chocolate Factory,https://image.tmdb.org/t/p/original/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,Prepare for a taste of adventure.
ratatouille,Ratatouille,https://image.tmdb.org/t/p/original/npHNjldbeTHdKKw28bJKs7lzqzj.jpg,He's dying to become a chef.
batman begins,Batman Begins,https://image.tmdb.org/t/p/original/1P3ZyEq02wcTMd3iE4ebtLvncvH.jpg,Evil fears the knight.
madagascar: escape 2 africa,Madagascar: Escape 2 Africa,https://image.tmdb.org/t/p/original/agRbLOHgN46TQO4YdKR462iR7To.jpg,Still together. Still lost!
night at the museum: battle of the smithsonian,Night at the Museum: Battle of the Smithsonian,https://image.tmdb.org/t/p/original/dNvYjzFuSSY7DCVZK7zzaZFemHt.jpg,When the lights go off the battle is on.
x-men origins: wolverine,X-Men Origins: Wolverine,https://image.tmdb.org/t/p/original/8TItaEDL9lRCVcGMkYFluceD2Od.jpg,Witness the Origin.
the matrix revolutions,The Matrix Revolutions,https://image.tmdb.org/t/p/original/8IpEO76zc1GuHiFVE5aCEL03qJs.jpg,Everything that has a beginning has an end.
frozen,Frozen II,https://image.tmdb.org/t/p/original/qXsndsv3WOoxszmdlvTWeY688eK.jpg,The past is not what it seems.
the matrix reloaded,The Matrix Reloaded,https://image.tmdb.org/t/p/original/jBegA6V243J6HUnpcOILsRvBnGb.jpg,Free your mind.
thor: the dark world,Thor: The Dark World,https://image.tmdb.org/t/p/original/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,Delve into the darkness
mad max: fury road,Mad Max: Fury Road,https://image.tmdb.org/t/p/original/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,What a Lovely Day.
angels & demons,Angels & Demons,https://image.tmdb.org/t/p/original/uRBapeuwV8yy4in4BkETHBDmWkH.jpg,The holiest event of our time. Perfect for their return.
thor,Thor: Ragnarok,https://image.tmdb.org/t/p/original/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,No Hammer. No Problem.
bolt,Bolt,https://image.tmdb.org/t/p/original/z9VHoUcZ1GiH3f3qYz7Me7Zc1Fd.jpg,Fully Awesome. Ridonculous. Let It Begin.
g-force,G-Force,https://image.tmdb.org/t/p/original/jpjG88kTrK7mHnRx4cpLHh8YZwr.jpg,The world needs bigger heroes
wrath of the titans,Wrath of the Titans,https://image.tmdb.org/t/p/original/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg,Feel the Wrath
dark shadows,Dark Shadows,https://image.tmdb.org/t/p/original/eteQ3gyMpA0oiWcYX4XoXGry0cB.jpg,Every Family Has Its Demons
mission: impossible - rogue nation,Mission: Impossible - Rogue Nation,https://image.tmdb.org/t/p/original/oUDKymEL932AeHyl4A4ee8zuBLF.jpg,Desperate Times. Desperate Measures.
the wolfman,The Wolfman,https://image.tmdb.org/t/p/original/cdzkHnXhPbBBBAPLKDXFCy3oHVD.jpg,When the moon is full the legend comes to life
the legend of tarzan,The Legend of Tarzan,https://image.tmdb.org/t/p/original/eJrfz178xBGlxjDGxnBXTzWWa4w.jpg,Human. Nature.
bee movie,Bee Movie,https://image.tmdb.org/t/p/original/rYBaXgvTKFS8iZC7Wr8SMomSauQ.jpg,Born to bee wild.
kung fu panda 2,Kung Fu Panda 2,https://image.tmdb.org/t/p/original/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg,Prepare for the Year of Awesomeness!
the last airbender,The Last Airbender,https://image.tmdb.org/t/p/original/zgwRTYWEEPivTwjB9S03HtmMcbM.jpg,"Four nations, one destiny"
mission: impossible iii,Mission: Impossible III,https://image.tmdb.org/t/p/original/5l0hS4A119jCA1A02XsFZHq1uRD.jpg,The Mission Begins 05:05:06.
white house down,White House Down,https://image.tmdb.org/t/p/original/hXLScIERphkTsMGdfKKvF4p4SPB.jpg,It will start like any other day
mars needs moms,Mars Needs Moms,https://image.tmdb.org/t/p/original/lOKqLd0ud1wdwaPK5h6bGNZIVLT.jpg,Mom needs a little space.
flushed away,Flushed Away,https://image.tmdb.org/t/p/original/o4JlinGGDwxfmtvyUotZQdDdLA2.jpg,Someone's Going Down
mr. peabody & sherman,Mr. Peabody & Sherman,https://image.tmdb.org/t/p/original/zfM3kcF6IiHkM84JsMFYAnKnEuh.jpg,He's Leaving His Mark On History
troy,Troy,https://image.tmdb.org/t/p/original/kWj4RJzZeJGeyGA3DVGQiNkUjkt.jpg,For passion. For honor. For destiny. For victory. For love.
madagascar 3: europe's most wanted,Madagascar 3: Europe's Most Wanted,https://image.tmdb.org/t/p/original/ekraj4ksvIKeuvQVEevEJkuybZd.jpg,They Have One Shot to Get Back Home.
die another day,Die Another Day,https://image.tmdb.org/t/p/original/10gf29n2TrYBYfvCPKWxasa9BnZ.jpg,He's never been cooler.
armageddon,Armageddon,https://image.tmdb.org/t/p/original/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg,The Earth's Darkest Day Will Be Man's Finest Hour
men in black ii,Men in Black II,https://image.tmdb.org/t/p/original/enA22EPyzc2WQ1VVyY7zxresQQr.jpg,Same Planet. New Scum.
beowulf,Beowulf,https://image.tmdb.org/t/p/original/7QsWYyJAV97N9jOh21pdRIqJeJq.jpg,Evil breeds pain.
kung fu panda 3,Kung Fu Panda 3,https://image.tmdb.org/t/p/original/nlr2oxuYsHXt0wdtmzaOuVBoNC0.jpg,Grab destiny by the rice dumplings.
mission: impossible - ghost protocol,Mission: Impossible - Ghost Protocol,https://image.tmdb.org/t/p/original/7GCKNRbzcA4rJXAKoE8KS9IDnZP.jpg,No Plan. No Backup. No Choice.
rise of the guardians,Rise of the Guardians,https://image.tmdb.org/t/p/original/kUBkmlWriPbNMijL2m3LtmPYPTb.jpg,You better believe.
fun with dick and jane,Fun with Dick and Jane,https://image.tmdb.org/t/p/original/1NBVGBi8Z6MhJBAJ5SuRMqP7o3T.jpg,Giving big businesses a run for their money!
the last samurai,The Last Samurai,https://image.tmdb.org/t/p/original/tGI6kqOIDgTw4DhEhGhV542VGf3.jpg,"In the face of an enemy, in the heart of one man, lies the soul of a warrior."
star trek,Star Trek,https://image.tmdb.org/t/p/original/lV5OpzAss1z06YNagOVap1I35mH.jpg,The future begins.
spider-man,Spider-Man,https://image.tmdb.org/t/p/original/gh4cZbhZxyTbgxQPxD0dOudNPTn.jpg,Go for the Ultimate Spin.
how to train your dragon 2,How to Train Your Dragon 2,https://image.tmdb.org/t/p/original/d13Uj86LdbDLrfDoHR5aDOFYyJC.jpg,The training is over.
gods of egypt,Gods of Egypt,https://image.tmdb.org/t/p/original/zpXkim56DyQIbZPpMyTqygo81Kc.jpg,The battle for eternity begins
stealth,Stealth,https://image.tmdb.org/t/p/original/eVmOkUrEIRm6DKusKbI1gVS8paQ.jpg,Fear The Sky
watchmen,Watchmen,https://image.tmdb.org/t/p/original/aZvOkdo203bm1kpcY0A0Tn074ER.jpg,Justice is coming to all of us.  No matter what we do.
lethal weapon 4,Lethal Weapon 4,https://image.tmdb.org/t/p/original/qc0GVMhZk44icQdynIin0xkE9YZ.jpg,The faces you love. The action you expect.
hulk,Hulk,https://image.tmdb.org/t/p/original/qnngKqAcqfH2pBxDoKu5lxzSbTo.jpg,Unleash the hero within
g.i. joe: retaliation,G.I. Joe: Retaliation,https://image.tmdb.org/t/p/original/3rWIZMzTKcCtV0eHJ70Z4Ru659f.jpg,
final fantasy: the spirits within,Final Fantasy: The Spirits Within,https://image.tmdb.org/t/p/original/cJlEv3xULhBt6WvjYEntBg3ReEw.jpg,Unleash a new reality
captain america: the first avenger,Captain America: The First Avenger,https://image.tmdb.org/t/p/original/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,When patriots become heroes
the world is not enough,The World Is Not Enough,https://image.tmdb.org/t/p/original/ycW1dXiKq1XbRht7neClDceS2QM.jpg,As the countdown begins for the new millennium there is still one number you can always count on.
master and commander: the far side of the world,Master and Commander: The Far Side of the World,https://image.tmdb.org/t/p/original/s1cVTQEZYn4nSjZLnFbzLP0j8y2.jpg,The courage to do the impossible lies in the hearts of men.
happy feet 2,Happy Feet Two,https://image.tmdb.org/t/p/original/2gWiQ4mn85jcXtREVePlVViupeV.jpg,Every step counts.
the incredible hulk,The Incredible Hulk,https://image.tmdb.org/t/p/original/2nBpExDoInX3VreBsIm9qOTqXs8.jpg,You'll like him when he's angry.
miami vice,Miami Vice,https://image.tmdb.org/t/p/original/iJPSls4taB09EUKtLj6FjFSprb3.jpg,No Law. No Rules. No Order.
the bfg,The BFG,https://image.tmdb.org/t/p/original/4zawxGJIH43DcoGG9Ui0WoIcrQC.jpg,The world is more giant than you can imagine.
the revenant,The Revenant,https://image.tmdb.org/t/p/original/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,"(n. One who has returned, as if from the dead.)"
turbo,Turbo,https://image.tmdb.org/t/p/original/tN4bjzZ3ePY57hpCTFk0Kc3oXAw.jpg,SLO NO MO
rango,Rango,https://image.tmdb.org/t/p/original/m5kz9dXHhAqzxknwuACvcgJmQSH.jpg,Heroes come in all different colors.
penguins of madagascar,Penguins of Madagascar,https://image.tmdb.org/t/p/original/gbtwoYMWlG0HZe7sDaTOoijtXCu.jpg,The Movie Event That Will Blow Their Cover
the bourne ultimatum,The Bourne Ultimatum,https://image.tmdb.org/t/p/original/xqf7mzA77LmMJByvwxRLNdw5pz4.jpg,Remember everything. Forgive nothing.
kung fu panda,Kung Fu Panda 3,https://image.tmdb.org/t/p/original/nlr2oxuYsHXt0wdtmzaOuVBoNC0.jpg,Grab destiny by the rice dumplings.
ant-man,Ant-Man,https://image.tmdb.org/t/p/original/rQRnQfUl3kfp78nCWq8Ks04vnq1.jpg,Heroes don't get any bigger.
the hunger games: catching fire,The Hunger Games: Catching Fire,https://image.tmdb.org/t/p/original/7c1JtraYsjMMnk8Md0IMoyRzqZJ.jpg,Every revolution begins with a spark.
the twilight saga: breaking dawn - part 2,The Twilight Saga: Breaking Dawn - Part 2,https://image.tmdb.org/t/p/original/jHE7WUf3FDod8vw3O3twh0JVZun.jpg,The epic finale that will live forever.
war of the worlds,War of the Worlds,https://image.tmdb.org/t/p/original/6Biy7R9LfumYshur3YKhpj56MpB.jpg,They're already here.
bad boys ii,Bad Boys II,https://image.tmdb.org/t/p/original/yCvB5fG5aEPqa1St7ihY6KEAsHD.jpg,"If you can't stand the heat, get out of Miami."
puss in boots,Puss in Boots,https://image.tmdb.org/t/p/original/eufJ36oQCauDc427ewaEvQrhZ6i.jpg,Live for danger. Fight for justice. Pray for mercy.
salt,Salt,https://image.tmdb.org/t/p/original/ppXyhOe8UCEOrBRSYqE3SkHwrcR.jpg,Who is Salt?
noah,Noah,https://image.tmdb.org/t/p/original/trtD17IqSWV9Nbn4OILztc9GuCX.jpg,The end of the world is just the beginning.
the adventures of tintin,The Adventures of Tintin,https://image.tmdb.org/t/p/original/mKYkNro2btaWMsnYSuyqrBdHQo3.jpg,"This year, discover how far adventure will take you."
harry potter and the prisoner of azkaban,Harry Potter and the Prisoner of Azkaban,https://image.tmdb.org/t/p/original/v0wMKEEGaNc9evdqGYfIvoWXh24.jpg,Something wicked this way comes.
